x,y,z
-1.000000000000000000e+00,0.000000000000000000e+00,1.370338439941406250e+00
-8.515447378158569336e-01,9.383977390825748444e-03,1.370338439941406250e+00
-7.030894756317138672e-01,1.876795478165149689e-02,1.370338439941406250e+00
-5.546342134475708008e-01,2.815193310379981995e-02,1.370338439941406250e+00
-4.061790108680725098e-01,3.753590956330299377e-02,1.370338439941406250e+00
-2.577237486839294434e-01,4.691988602280616760e-02,1.370338439941406250e+00
-1.092684864997863770e-01,5.630386620759963989e-02,1.370338439941406250e+00
3.918683528900146484e-02,6.568784266710281372e-02,1.370338439941406250e+00
1.876419782638549805e-01,7.507181912660598755e-02,1.370338439941406250e+00
3.360972404479980469e-01,8.445579558610916138e-02,1.370338439941406250e+00
4.845525026321411133e-01,9.383977204561233521e-02,1.370338439941406250e+00
6.330077648162841797e-01,1.032237485051155090e-01,1.370338439941406250e+00
7.814630270004272461e-01,1.126077324151992798e-01,1.370338439941406250e+00
9.299182891845703125e-01,1.219917088747024536e-01,1.370338439941406250e+00
1.078373670578002930e+00,1.313756853342056274e-01,1.370338439941406250e+00
1.226828694343566895e+00,1.407596617937088013e-01,1.370338439941406250e+00
1.375283956527709961e+00,1.501436382532119751e-01,1.370338439941406250e+00
1.523739218711853027e+00,1.595276147127151489e-01,1.370338439941406250e+00
1.672194480895996094e+00,1.689115911722183228e-01,1.370338439941406250e+00
1.820649743080139160e+00,1.782955676317214966e-01,1.370338439941406250e+00
1.969105005264282227e+00,1.876795440912246704e-01,1.370338439941406250e+00
2.117560386657714844e+00,1.970635205507278442e-01,1.370338439941406250e+00
2.266015529632568359e+00,2.064474970102310181e-01,1.370338439941406250e+00
2.414470672607421875e+00,2.158314734697341919e-01,1.370338439941406250e+00
2.562926054000854492e+00,2.252154648303985596e-01,1.370338439941406250e+00
2.711381435394287109e+00,2.345994412899017334e-01,1.370338439941406250e+00
2.859836578369140625e+00,2.439834177494049072e-01,1.370338439941406250e+00
3.008291721343994141e+00,2.533673942089080811e-01,1.370338439941406250e+00
3.156747341156005859e+00,2.627513706684112549e-01,1.370338439941406250e+00
3.305202007293701172e+00,2.721353471279144287e-01,1.370338439941406250e+00
3.453657388687133789e+00,2.815193235874176025e-01,1.370338439941406250e+00
3.602112770080566406e+00,2.909033000469207764e-01,1.370338439941406250e+00
3.750567913055419922e+00,3.002872765064239502e-01,1.370338439941406250e+00
3.899023056030273438e+00,3.096712529659271240e-01,1.370338439941406250e+00
4.047478675842285156e+00,3.190552294254302979e-01,1.370338439941406250e+00
4.195933818817138672e+00,3.284392058849334717e-01,1.370338439941406250e+00
4.344388961791992188e+00,3.378231823444366455e-01,1.370338439941406250e+00
4.492844104766845703e+00,3.472071588039398193e-01,1.370338439941406250e+00
4.641299247741699219e+00,3.565911352634429932e-01,1.370338439941406250e+00
4.789754867553710938e+00,3.659751117229461670e-01,1.370338439941406250e+00
4.938210010528564453e+00,3.753590881824493408e-01,1.370338439941406250e+00
5.086665153503417969e+00,3.847430646419525146e-01,1.370338439941406250e+00
5.235120773315429688e+00,3.941270411014556885e-01,1.370338439941406250e+00
5.383575916290283203e+00,4.035110175609588623e-01,1.370338439941406250e+00
5.532031059265136719e+00,4.128949940204620361e-01,1.370338439941406250e+00
5.680486202239990234e+00,4.222789704799652100e-01,1.370338439941406250e+00
5.828941345214843750e+00,4.316629469394683838e-01,1.370338439941406250e+00
5.977396965026855469e+00,4.410469233989715576e-01,1.370338439941406250e+00
6.125852108001708984e+00,4.504309296607971191e-01,1.370338439941406250e+00
6.274307250976562500e+00,4.598149061203002930e-01,1.370338439941406250e+00
6.422762870788574219e+00,4.691988825798034668e-01,1.370338439941406250e+00
6.571218013763427734e+00,4.785828590393066406e-01,1.370338439941406250e+00
6.719673156738281250e+00,4.879668354988098145e-01,1.370338439941406250e+00
6.868128299713134766e+00,4.973508119583129883e-01,1.370338439941406250e+00
7.016583442687988281e+00,5.067347884178161621e-01,1.370338439941406250e+00
7.165039062500000000e+00,5.161187648773193359e-01,1.370338439941406250e+00
7.313494682312011719e+00,5.255027413368225098e-01,1.370338439941406250e+00
7.461949348449707031e+00,5.348867177963256836e-01,1.370338439941406250e+00
7.610404014587402344e+00,5.442706942558288574e-01,1.370338439941406250e+00
7.758860111236572266e+00,5.536546707153320312e-01,1.370338439941406250e+00
7.907314777374267578e+00,5.630386471748352051e-01,1.370338439941406250e+00
8.055770874023437500e+00,5.724226236343383789e-01,1.370338439941406250e+00
8.204225540161132812e+00,5.818066000938415527e-01,1.370338439941406250e+00
8.352681159973144531e+00,5.911905765533447266e-01,1.370338439941406250e+00
8.501135826110839844e+00,6.005745530128479004e-01,1.370338439941406250e+00
8.649591445922851562e+00,6.099585294723510742e-01,1.370338439941406250e+00
8.798046112060546875e+00,6.193425059318542480e-01,1.370338439941406250e+00
8.946501731872558594e+00,6.287264823913574219e-01,1.370338439941406250e+00
9.094957351684570312e+00,6.381104588508605957e-01,1.370338439941406250e+00
9.243412971496582031e+00,6.474944353103637695e-01,1.370338439941406250e+00
9.391867637634277344e+00,6.568784117698669434e-01,1.370338439941406250e+00
